Index,Variant,"Region, subregion, country or area *",Notes,Location code,ISO3Code,ISO2 Alpha-code,SDMX code**,Type,Parent code,Year,"Total Population, as of 1 January (thousands)","Total Population, as of 1 July (thousands)","Male Population, as of 1 July (thousands)","Female Population, as of 1 July (thousands)","Population Density, as of 1 July (persons per square km)","Population Sex Ratio, as of 1 July (males per 100 females)","Median Age, as of 1 July (years)","Natural Change, Births minus Deaths (thousands)","Rate of Natural Change (per 1,000 population)",Population Change (thousands),Population Growth Rate (percentage),Population Annual Doubling Time (years),Births (thousands),Births by women aged 15 to 19 (thousands),"Crude Birth Rate (births per 1,000 population)",Total Fertility Rate (live births per woman),Net Reproduction Rate (surviving daughters per woman),Mean Age Childbearing (years),Sex Ratio at Birth (males per 100 female births),Total Deaths (thousands),Male Deaths (thousands),Female Deaths (thousands),"Crude Death Rate (deaths per 1,000 population)","Life Expectancy at Birth, both sexes (years)",Male Life Expectancy at Birth (years),Female Life Expectancy at Birth (years),"Life Expectancy at Age 15, both sexes (years)",Male Life Expectancy at Age 15 (years),Female Life Expectancy at Age 15 (years),"Life Expectancy at Age 65, both sexes (years)",Male Life Expectancy at Age 65 (years),Female Life Expectancy at Age 65 (years),"Life Expectancy at Age 80, both sexes (years)",Male Life Expectancy at Age 80 (years),Female Life Expectancy at Age 80 (years),"Infant Deaths, under age 1 (thousands)","Infant Mortality Rate (infant deaths per 1,000 live births)",Live Births Surviving to Age 1 (thousands),"Under-Five Deaths, under age 5 (thousands)","Under-Five Mortality (deaths under age 5 per 1,000 live births)","Mortality before Age 40, both sexes (deaths under age 40 per 1,000 live births)","Male Mortality before Age 40 (deaths under age 40 per 1,000 male live births)","Female Mortality before Age 40 (deaths under age 40 per 1,000 female live births)","Mortality before Age 60, both sexes (deaths under age 60 per 1,000 live births)","Male Mortality before Age 60 (deaths under age 60 per 1,000 male live births)","Female Mortality before Age 60 (deaths under age 60 per 1,000 female live births)","Mortality between Age 15 and 50, both sexes (deaths under age 50 per 1,000 alive at age 15)","Male Mortality between Age 15 and 50 (deaths under age 50 per 1,000 males alive at age 15)","Female Mortality between Age 15 and 50 (deaths under age 50 per 1,000 females alive at age 15)","Mortality between Age 15 and 60, both sexes (deaths under age 60 per 1,000 alive at age 15)","Male Mortality between Age 15 and 60 (deaths under age 60 per 1,000 males alive at age 15)","Female Mortality between Age 15 and 60 (deaths under age 60 per 1,000 females alive at age 15)",Net Number of Migrants (thousands),"Net Migration Rate (per 1,000 population)"
2741,Estimates,Somalia,,706,SOM,SO,706.0,Country/Area,910,1950.0,2181.367,2213.052,1098.941,1114.11,3.528,98.639,18.528,62.183,28.085,63.369,2.864,24.202,111.738,7.912,50.466,7.248,2.175,31.332,104.4,49.555,25.833,23.721,22.381,41.404,40.01,42.816,44.295,43.118,45.45,10.882,10.441,11.217,4.679,4.394,4.854,16.409,152.08,100.353,26.148,257.605,451.103,465.43,436.298,615.401,640.238,589.898,301.898,319.381,284.073,437.779,466.28,409.232,1.191,0.538
2813,Estimates,South Sudan,,728,SSD,SS,728.0,Country/Area,910,1950.0,2476.015,2492.077,1270.886,1221.191,4.417,104.069,17.549,32.131,12.897,32.124,1.289,53.774,115.17,18.056,46.227,6.628,1.613,29.925,103.5,83.039,46.244,36.795,33.33,31.247,29.003,33.967,40.584,38.066,43.766,9.609,8.825,10.677,3.966,3.53,4.587,27.718,236.831,96.895,47.181,394.009,589.04,619.124,555.971,738.462,778.944,687.908,368.125,416.114,313.21,519.154,580.066,444.369,0,0
2885,Estimates,Uganda,,800,UGA,UG,800.0,Country/Area,910,1950.0,5671.964,5750.637,2963.845,2786.791,28.781,106.353,18.148,157.337,27.358,157.346,2.736,25.334,301.504,55.971,52.425,6.65,2.024,28.732,103,144.167,79.466,64.7,25.067,39.33,37.868,41.003,41.649,40.769,42.733,11.312,11.082,11.64,5.718,5.433,6.114,44.675,148.517,270.121,76.475,268.55,483.672,503.512,462.179,668.231,689.859,641.979,365.528,383.323,344.267,512.16,532.899,486.264,0,0
2957,Estimates,United Republic of Tanzania,3,834,TZA,TZ,834.0,Country/Area,910,1950.0,7533.316,7632.399,3726.982,3905.417,8.616,95.431,15.976,196.938,25.796,198.166,2.597,26.69,364.524,69.437,47.747,6.485,2.007,29.302,103.2,167.586,85.939,81.647,21.951,41.296,40.031,42.541,43.565,42.598,44.481,10.655,10.361,10.887,4.68,4.436,4.847,52.223,145.048,327.468,92.612,259.282,451.743,466.499,437.101,622.981,645.825,600.428,317.557,335.346,300.433,455.255,480.264,431.345,1.226,0.161
3029,Estimates,Zambia,,894,ZMB,ZM,894.0,Country/Area,910,1950.0,2285.718,2318.448,1152.529,1165.918,3.119,98.852,16.444,66.857,28.819,65.459,2.824,24.545,112.653,20.771,48.559,6.623,2.169,29.249,101.1,45.796,23.772,22.025,19.74,45.123,43.999,46.26,47.538,46.831,48.237,12.129,11.829,12.416,5.53,5.328,5.714,15.131,135.852,101.927,26.406,244.774,405.325,415.809,394.76,553.33,572.02,534.609,250.008,258.824,241.504,371.009,388.528,354.016,-1.402,-0.604
3101,Estimates,Zimbabwe,,716,ZWE,ZW,716.0,Country/Area,910,1950.0,2746.396,2791.326,1391.011,1400.315,7.216,99.336,17.422,94.512,33.817,89.86,3.22,21.526,140.879,22.749,50.408,7.104,2.571,29.62,102.6,46.367,24.63,21.737,16.591,49.644,47.553,51.809,47.913,46.116,49.722,12.093,11.572,12.52,5.392,5.205,5.518,14.209,102.2,130.788,23.171,183.312,339.629,361.554,316.805,505.876,546.245,463.728,243.953,272.67,214.671,366.631,409.501,323.072,-4.654,-1.665
3317,Estimates,Cameroon,,120,CMR,CM,120.0,Country/Area,911,1950.0,4283.047,4315.816,2108.271,2207.544,9.26,95.503,19.436,65.536,15.178,65.538,1.519,45.632,186.657,36.018,43.228,5.537,1.433,28.462,102.8,121.121,61.795,59.326,28.05,34.457,33.179,35.729,43.208,42.486,43.896,10.841,10.699,10.951,4.944,4.783,5.059,35.545,194.218,161.25,66.248,363.24,552.203,568.335,536.091,687.865,706.995,668.676,323.613,337.359,310.261,456.662,476.03,438.034,0,0
3389,Estimates,Central African Republic,,140,CAF,CF,140.0,Country/Area,911,1950.0,1426.515,1436.591,708.558,728.034,2.306,97.325,21.227,20.147,14.021,20.152,1.403,49.405,62.584,11.857,43.555,5.744,1.593,28.215,103.3,42.437,21.695,20.742,29.534,35.389,34.088,36.73,40.136,38.873,41.433,9.757,9.708,9.796,4.365,4.289,4.419,11.848,190.733,54.218,19.008,318.906,533.617,553.919,512.8,707.517,732.102,681.589,382.248,412.389,351.164,532.85,565.285,499.172,0,0
3461,Estimates,Chad,,148,TCD,TD,148.0,Country/Area,911,1950.0,2488.828,2512.688,1240.879,1271.809,1.995,97.568,20.424,47.479,18.876,47.72,1.899,36.501,117.34,22.851,46.65,6.062,1.664,28.091,104.1,69.861,36.528,33.333,27.774,36.206,34.766,37.68,42.91,41.785,44.022,10.397,9.997,10.765,4.4,4.128,4.632,21.891,197.589,101.806,35.433,331.933,521.724,537.329,505.871,675.259,699.34,650.783,326.012,343.538,308.805,467.001,495.698,439.019,0.243,0.097
3605,Estimates,Democratic Republic of the Congo,,180,COD,CD,180.0,Country/Area,911,1950.0,12174.049,12295.745,5760.461,6535.284,5.424,88.144,17.087,239.288,19.464,243.391,1.98,35.007,565.737,103.97,46.016,5.966,1.707,29.01,102.5,326.449,160.847,165.602,26.552,38.308,37.138,39.38,43.675,42.839,44.349,10.649,10.34,10.869,4.529,4.329,4.681,101.627,179.896,497.549,171.526,304.171,493.599,504.782,482.832,649.246,669.065,631.995,312.661,324.249,303.095,449.993,472.315,432.166,4.103,0.334
