Index,Variant,"Region, subregion, country or area *",Notes,Location code,ISO3Code,ISO2 Alpha-code,SDMX code**,Type,Parent code,Year,"Total Population, as of 1 January (thousands)","Total Population, as of 1 July (thousands)","Male Population, as of 1 July (thousands)","Female Population, as of 1 July (thousands)","Population Density, as of 1 July (persons per square km)","Population Sex Ratio, as of 1 July (males per 100 females)","Median Age, as of 1 July (years)","Natural Change, Births minus Deaths (thousands)","Rate of Natural Change (per 1,000 population)",Population Change (thousands),Population Growth Rate (percentage),Population Annual Doubling Time (years),Births (thousands),Births by women aged 15 to 19 (thousands),"Crude Birth Rate (births per 1,000 population)",Total Fertility Rate (live births per woman),Net Reproduction Rate (surviving daughters per woman),Mean Age Childbearing (years),Sex Ratio at Birth (males per 100 female births),Total Deaths (thousands),Male Deaths (thousands),Female Deaths (thousands),"Crude Death Rate (deaths per 1,000 population)","Life Expectancy at Birth, both sexes (years)",Male Life Expectancy at Birth (years),Female Life Expectancy at Birth (years),"Life Expectancy at Age 15, both sexes (years)",Male Life Expectancy at Age 15 (years),Female Life Expectancy at Age 15 (years),"Life Expectancy at Age 65, both sexes (years)",Male Life Expectancy at Age 65 (years),Female Life Expectancy at Age 65 (years),"Life Expectancy at Age 80, both sexes (years)",Male Life Expectancy at Age 80 (years),Female Life Expectancy at Age 80 (years),"Infant Deaths, under age 1 (thousands)","Infant Mortality Rate (infant deaths per 1,000 live births)",Live Births Surviving to Age 1 (thousands),"Under-Five Deaths, under age 5 (thousands)","Under-Five Mortality (deaths under age 5 per 1,000 live births)","Mortality before Age 40, both sexes (deaths under age 40 per 1,000 live births)","Male Mortality before Age 40 (deaths under age 40 per 1,000 male live births)","Female Mortality before Age 40 (deaths under age 40 per 1,000 female live births)","Mortality before Age 60, both sexes (deaths under age 60 per 1,000 live births)","Male Mortality before Age 60 (deaths under age 60 per 1,000 male live births)","Female Mortality before Age 60 (deaths under age 60 per 1,000 female live births)","Mortality between Age 15 and 50, both sexes (deaths under age 50 per 1,000 alive at age 15)","Male Mortality between Age 15 and 50 (deaths under age 50 per 1,000 males alive at age 15)","Female Mortality between Age 15 and 50 (deaths under age 50 per 1,000 females alive at age 15)","Mortality between Age 15 and 60, both sexes (deaths under age 60 per 1,000 alive at age 15)","Male Mortality between Age 15 and 60 (deaths under age 60 per 1,000 males alive at age 15)","Female Mortality between Age 15 and 60 (deaths under age 60 per 1,000 females alive at age 15)",Net Number of Migrants (thousands),"Net Migration Rate (per 1,000 population)"
3007,Medium,Somalia,,706,SOM,SO,706.0,Country/Area,910,2022.0,17329.992,17597.511,8822.442,8775.069,28.051,100.54,15.226,565.041,32.074,535.038,3.041,22.793,759.044,109.399,43.086,6.202,2.521,29.275,104.4,194.003,104.208,89.795,11.012,56.107,54.072,58.233,49.133,47.217,51.111,11.31,10.559,11.994,4.823,4.466,5.099,49.962,66.165,720.51,77.158,104.462,231.209,250.681,210.984,418.43,458.657,376.937,196.708,222.696,170.08,330.986,372.855,288.418,-30,-1.703
3086,Medium,South Sudan,,728,SSD,SS,728.0,Country/Area,910,2022.0,10829.532,10913.164,5404.538,5508.626,19.344,98.11,16.405,197.957,18.112,167.263,1.533,45.215,315.39,64.662,28.857,4.337,1.729,29.613,103.5,117.433,59.912,57.52,10.745,55.567,54.036,57.047,48.619,47.109,50.051,11.66,11.036,12.142,4.994,4.604,5.228,19.112,60.708,300.399,29.69,94.759,252.03,265.609,238.151,430.048,459.957,401.178,218.328,238.272,198.909,341.951,373.919,311.495,-30.694,-2.808
3165,Medium,Uganda,,800,UGA,UG,800.0,Country/Area,910,2022.0,46584.197,47249.585,23401.332,23848.253,236.476,98.126,16.122,1449.618,30.636,1330.776,2.817,24.606,1713.605,296.867,36.215,4.468,2.041,28.733,102.9,263.987,140.982,123.005,5.579,63.638,61.486,65.703,51.813,49.784,53.729,11.719,11.008,12.245,4.761,4.516,4.907,52.03,30.416,1668.269,69.702,41.244,123.743,139.337,108.125,314.328,361.175,268.775,154.928,181.44,128.84,278.903,325.655,233.908,-118.846,-2.512
3244,Medium,United Republic of Tanzania,3,834,TZA,TZ,834.0,Country/Area,910,2022.0,64539.598,65497.748,32370.931,33126.817,73.942,97.718,16.903,1956.292,29.852,1916.3,2.926,23.689,2346.821,443.246,35.811,4.661,2.146,28.752,103,390.529,210.628,179.9,5.959,66.782,64.72,68.93,55.178,53.22,57.208,13.35,12.062,14.613,6.211,5.258,6.982,74.487,31.821,2282.224,98.315,42.501,97.33,107.292,87.847,254.956,285.757,223.344,105.052,119.975,90.268,215.88,245.878,185.269,-39.997,-0.61
3323,Medium,Zambia,,894,ZMB,ZM,894.0,Country/Area,910,2022.0,19745.738,20017.675,9877.642,10140.033,26.928,97.412,17.087,548.867,27.411,543.874,2.717,25.511,683.355,130.376,34.127,4.242,1.928,28.491,101.1,134.488,73.154,61.335,6.716,61.803,59.058,64.51,50.887,48.287,53.418,11.475,10.313,12.328,4.925,4.356,5.27,26.007,38.151,661.373,36.305,53.906,140.016,160.296,119.483,345.583,403.965,287.093,162.122,196.001,127.744,300.703,359.558,242.378,-5,-0.25
3402,Medium,Zimbabwe,,716,ZWE,ZW,716.0,Country/Area,910,2022.0,16152.942,16320.537,7705.601,8614.935,42.188,89.445,18.236,345.195,21.143,335.19,2.054,33.746,491.195,85.38,30.086,3.437,1.533,27.927,102.4,146,75.369,70.631,8.943,59.391,56.428,62.094,48.3,45.389,50.908,12.098,10.74,13.19,5.912,5.092,6.474,18.378,37.421,475.65,26.013,53.182,174.159,197.345,154.263,422.065,486.961,365.883,226.274,269.632,189.764,382.439,449.363,325.386,-9.999,-0.612
3639,Medium,Cameroon,,120,CMR,CM,120.0,Country/Area,911,2022.0,27552.212,27914.536,13922.522,13992.014,59.896,99.503,17.551,729.448,26.127,724.649,2.596,26.701,959.096,161.978,34.352,4.383,1.934,28.379,103,229.648,121.29,108.358,8.225,60.958,59.392,62.556,50.947,49.656,52.248,11.886,11.328,12.389,5.298,5.093,5.46,43.826,45.751,923.258,62.549,65.862,158.826,171.237,146.223,356.758,386.857,326.051,167.184,182.257,152.03,302.082,330.334,273.611,-4.8,-0.172
3718,Medium,Central African Republic,,140,CAF,CF,140.0,Country/Area,911,2022.0,5500.295,5579.144,2788.352,2790.791,8.956,99.913,14.705,175.153,31.341,157.697,2.827,24.519,236.643,54.09,42.344,5.918,2.445,28.823,103.3,61.49,33.428,28.062,11.003,54.477,52.258,56.829,46.265,44.216,48.428,11.306,10.383,12.303,5.545,4.912,6.141,15.978,67.698,224.799,22.401,96.883,243.768,265.361,221.282,485.09,530.609,440.49,258.783,289.407,227.144,418.106,465.188,372.802,-17.463,-3.125
3797,Medium,Chad,,148,TCD,TD,148.0,Country/Area,911,2022.0,17449.262,17723.315,8896.002,8827.313,14.075,100.778,15.058,550.105,31.027,548.105,3.093,22.41,765.648,128.29,43.184,6.215,2.415,29.363,104.2,215.543,114.897,100.647,12.157,52.997,51.3,54.769,46.661,45.129,48.242,10.921,10.319,11.475,4.629,4.292,4.899,49.809,65.466,727.088,76.177,102.71,281.046,297.832,263.642,475.549,509.485,440.384,247.268,269.315,224.776,383.467,418.778,347.439,-2,-0.113
3955,Medium,Democratic Republic of the Congo,,180,COD,CD,180.0,Country/Area,911,2022.0,97413.858,99010.212,49118.035,49892.177,43.674,98.448,15.556,3207.705,32.385,3192.708,3.225,21.493,4133.987,554.017,41.737,6.106,2.614,29.935,102.3,926.282,500.472,425.81,9.352,59.743,57.516,62.05,51.064,49.151,53.02,12.015,11.223,12.744,5.106,4.69,5.426,205.747,50,3965.786,302.238,75.178,190.857,211.791,169.499,360.534,401.118,318.951,170.428,194.393,146.352,289.185,328.119,249.974,-14.999,-0.151
